nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
10,003.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_003.tif,106,186,22,111,187,23,1
10,003.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_003.tif,86,303,24,92,303,23,2
15,004.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_004.tif,683,612,25,680,616,23,1
15,004.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_004.tif,639,719,23,639,718,26,2
16,004.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_004.tif,280,739,24,282,745,25,1
16,004.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_004.tif,297,719,28,293,716,26,2
19,005.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_005.tif,690,794,25,694,791,23,1
19,005.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_005.tif,753,732,31,754,732,28,2
20,006.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_006.tif,453,167,25,448,168,23,1
20,006.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_006.tif,488,171,24,487,176,22,2
21,006.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_006.tif,698,226,19,694,231,20,1
21,006.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_006.tif,718,224,22,714,219,21,2
23,006.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_006.tif,269,351,26,272,354,24,1
23,006.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_006.tif,280,363,35,281,363,32,2
25,006.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_006.tif,649,920,21,649,918,19,1
25,006.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_006.tif,706,853,27,705,853,24,2
26,007.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_007.tif,464,86,26,463,90,24,1
26,007.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_007.tif,411,94,26,415,96,24,2
27,007.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_007.tif,748,318,22,746,316,24,1
27,007.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_007.tif,712,336,23,712,337,20,2
28,007.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_007.tif,305,298,25,305,292,24,1
28,007.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_007.tif,283,353,29,281,359,28,2
29,007.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_007.tif,57,455,26,53,460,25,1
29,007.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_007.tif,34,481,25,33,481,22,2
33,008.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_008.tif,982,642,27,983,647,29,1
33,008.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM771_20220524_001/Cy5_008.tif,943,637,23,944,637,26,2
