nuclei,File,Nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,Cy5File,X_A,Y_A,Z_A,x,y,z,Channel,Fret,Acceptor,Donor,Cy5,Pair
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,741,34,24,744,33,26,a488,3119,2005,4609,2221,1
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,709,49,36,711,54,35,a488,3305,1781,4265,3512,2
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,688,58,22,689,52,21,a488,2967,1769,4010,2497,3
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,699,18,28,702,14,26,a488,3378,2129,8565,2577,4
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,717,35,25,721,32,27,a488,3019,1869,4362,2396,5
1,001.NM,1,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,715,60,26,716,55,24,a488,3661,1803,4342,2432,6
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,122,318,26,124,319,24,a488,2140,1692,7587,2485,1
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,115,340,16,111,340,18,a488,2502,1543,7193,2922,2
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,132,367,20,136,366,18,a488,2779,1631,3912,2411,3
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,100,319,25,98,323,23,a488,2392,1527,3796,2580,4
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,107,380,23,111,375,24,a488,2534,1563,6917,2469,5
2,001.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_001.tif,153,401,33,153,394,33,a488,2666,1549,3905,4902,6
4,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_002.tif,186,106,26,186,105,26,a488,2597,2646,5329,2275,1
4,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_002.tif,248,111,27,251,106,27,a488,2348,1707,6142,2181,2
4,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_002.tif,253,89,26,254,85,24,a488,2520,1736,5907,2199,3
4,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_002.tif,194,86,31,195,81,29,a488,2320,1534,6137,2972,4
4,002.NM,1,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_002.tif,217,113,28,216,113,31,a488,2358,1624,4601,2261,5
5,002.NM,2,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_002.tif,780,603,19,782,604,20,a488,2403,1601,4138,2052,1
5,002.NM,2,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_002.tif,707,611,21,703,613,19,a488,2456,1693,12289,2324,2
5,002.NM,2,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_002.tif,719,606,28,725,608,29,a488,2445,1602,4282,2578,3
5,002.NM,2,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_002.tif,743,613,28,747,616,26,a488,2757,1794,9585,2359,4
5,002.NM,2,5,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_002.tif,723,586,22,723,585,19,a488,2692,2203,3730,2530,5
8,003.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_003.tif,865,573,37,865,575,35,a488,7484,2797,4885,4590,1
8,003.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_003.tif,796,610,18,798,609,20,a488,4424,8925,13133,2814,2
8,003.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_003.tif,859,569,26,853,569,26,a488,8037,2889,5062,4662,3
8,003.NM,2,6,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a594_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/a488fret_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM797_20220707_001/Cy5_003.tif,867,575,17,864,579,19,a488,8448,2905,4929,4812,4
