nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
9,004.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_004.tif,680,523,22,682,528,22,1,5.3851648071345
9,004.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_004.tif,620,515,25,621,520,23,2,5.47722557505166
10,004.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_004.tif,617,768,18,621,771,20,1,5.3851648071345
10,004.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_004.tif,565,832,23,565,832,20,2,3
13,006.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_006.tif,835,292,26,833,291,24,1,3
13,006.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_006.tif,852,360,22,849,357,20,2,4.69041575982343
16,007.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_007.tif,503,489,20,500,493,18,1,5.3851648071345
16,007.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_007.tif,462,486,21,459,490,19,2,5.3851648071345
23,010.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_010.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_010.tif,667,814,28,664,817,30,1,4.69041575982343
23,010.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/tmr_010.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM751_20220502_001/Cy5_010.tif,681,854,25,684,849,26,2,5.91607978309962
