nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair
4,003.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_003.tif,694,293,16,693,297,18,1
4,003.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_003.tif,725,318,12,728,321,14,2
6,003.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_003.tif,632,723,21,633,727,23,1
6,003.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_003.tif,672,727,20,676,732,21,2
13,005.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_005.tif,825,792,18,819,793,18,1
13,005.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_005.tif,804,849,22,801,853,24,2
15,006.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_006.tif,615,466,21,614,464,19,1
15,006.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_006.tif,679,449,18,675,450,20,2
26,010.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_010.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_010.tif,279,142,21,274,140,20,1
26,010.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_010.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_010.tif,187,142,26,193,144,25,2
31,011.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_011.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_011.tif,107,453,18,107,458,20,1
31,011.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_011.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_011.tif,181,387,23,181,380,23,2
36,012.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/tmr_012.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM767_20220523_001/Cy5_012.tif,929,828,26,933,831,24,1
