nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
3,001.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_001.tif,238,770,5,235,776,5,1,6.70820393249937
3,001.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_001.tif,190,773,5,191,773,8,2,3.16227766016838
5,002.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_002.tif,416,719,9,412,717,7,1,4.89897948556636
5,002.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_002.tif,503,770,5,507,772,7,2,4.89897948556636
6,003.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_003.tif,402,51,10,405,45,10,1,6.70820393249937
6,003.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_003.tif,376,89,21,370,91,22,2,6.40312423743285
9,003.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_003.tif,729,675,8,725,678,9,1,5.09901951359278
9,003.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_003.tif,795,664,12,797,661,10,2,4.12310562561766
10,003.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_003.tif,128,881,10,129,879,12,1,3
10,003.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_003.tif,67,831,10,66,837,9,2,6.16441400296898
11,004.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_004.tif,631,32,10,631,37,8,1,5.3851648071345
11,004.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_004.tif,627,61,21,632,60,19,2,5.47722557505166
12,004.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM754_20220503_001/Cy5_004.tif,229,155,10,226,150,9,1,5.91607978309962
