nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488fret_001.tif	36	429	21	38.0	424.0	18.0	a488	2987	1612	6697	1	5	7.0.2	38	424	18	1.0	1581.518257877537	0.3106182041929499	3510.0	0.6893817958070501	1.0	-0.4425340570773142	-0.5942606431349349	-0.021461367875853378	0.0	2.0	67.45551552042514
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488fret_001.tif	83	454	23	82.0	454.0	19.0	a488	2732	1770	6203	2	5	7.0.2	82	454	19	1.0	2137.404968647729	0.3927374340114382	3304.9205739321483	0.6072625659885618	2.0	-0.6560573859002562	0.30136493191518104	0.028538632124146625	0.0	1.0	67.45551552042514
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488fret_001.tif	693	851	15	696.0	851.0	12.0	a488	3018	2063	6281	1	5	7.0.2	696	851	12												
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488fret_001.tif	682	837	20	685.0	835.0	17.0	a488	3094	2123	6115	2	5	7.0.2	685	835	17	3.0	700.0714249274855	0.1350781059358212	4482.644308887334	0.8649218940641787	1.0	-0.3510269977922321	-0.8161733419434267	-0.13421533452546405	0.0	0.0	
6	2	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488fret_002.tif	537	202	17	533.0	200.0	14.0	a488	2857	1870	8747	1	5	7.0.2	533	200	14	7.0	627.8534860936904	0.2196733974515287	2230.26904206645	0.7803266025484713	1.0	-0.17739694859318764	-0.9046190806255608	-0.035500369884558756	0.0	1.0	59.29061631692521
6	2	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488fret_002.tif	581	203	9	586.0	200.0	9.0	a488	3172	2853	7822	2	5	7.0.2	586	200	9	7.0	300.0	0.11957365962874297	2208.9137601997954	0.880426340371257	1.0	0.05525368714413983	-0.15077065988027374	-0.28550036988455874	0.0	2.0	59.29061631692521
7	2	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488fret_002.tif	533	530	22	536.0	527.0	23.0	a488	3972	4987	4835	1	5	7.0.2	536	527	23	6.0	130.0	0.033173985093887116	3788.7332975547383	0.9668260149061129	0.0	-0.2339100360036036	-0.29960809088024193	0.28524611384383347	0.0	2.0	114.70303002430856
7	2	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488fret_002.tif	518	551	10	516.0	550.0	12.0	a488	5473	9816	5003	2	5	7.0.2	516	550	12	6.0	2715.6030637779154	0.7135458174300633	1090.1834707974617	0.2864541825699367	1.0	-0.15999868150187968	0.20163400362996065	-0.2647538861561666	0.0	1.0	114.70303002430856
8	2	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488fret_002.tif	136	724	22	136.0	727.0	19.0	a488	2807	2021	9237	1	5	7.0.2	136	727	19	3.0	1630.4600577751055	0.39297745164648695	2518.531318050264	0.607022548353513	0.0	-0.4662899182363213	-0.27446269632909714	0.2859004247921018	0.0	2.0	124.61191913749907
8	2	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM744_20220328_001/a488fret_002.tif	168	751	18	168.0	755.0	15.0	a488	2669	2181	6179	2	5	7.0.2	168	755	15	3.0	3550.5210885164447	1.0	0.0	0.0	0.0	0.1307329191378025	-0.12167492407575763	0.027835908663069557	0.0	1.0	124.61191913749907
