nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
2	1	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488fret_001.tif	207	578	25	210.0	580.0	22.0	a488	2594	1537	5083	1	5	7.0.2	210	580	22	1.0	1207.683733433551	0.2775325479338602	3143.8193332314754	0.7224674520661398	2.0	0.5702395752147222	0.3451208152268752	0.05247234430870087	0.0	2.0	81.30731906124456
2	1	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488fret_001.tif	236	541	24	236.0	535.0	21.0	a488	2716	1554	11975	2	5	7.0.2	236	535	21	1.0	1235.5160864998886	0.32054777064025264	2618.8738037561106	0.6794522293597474	0.0	0.18165612162526387	-0.24211256740111634	0.002472344308700869	0.0	1.0	81.30731906124456
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488fret_001.tif	615	837	22	614.0	838.0	23.0	a488	3367	7183	10073	1	5	7.0.2	614	838	23	2.0	3287.03513823628	0.5643659464095434	2537.2623041380643	0.4356340535904566	0.0	-0.47571633906621796	-0.3879515911434517	0.12549207468352747	0.0	2.0	90.5398449795822
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488fret_001.tif	658	876	22	656.0	870.0	19.0	a488	2535	1742	14022	2	5	7.0.2	656	870	19	2.0	3871.61465024607	0.7140053765525755	1550.7740002979158	0.28599462344742455	1.0	0.1910824635438915	-0.33467941099046794	-0.07450792531647252	0.0	1.0	90.5398449795822
23	8	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488fret_008.tif	76	699	15	79.0	698.0	16.0	a488	3180	5042	11006	1	5	7.0.2	79	698	16	1.0	4331.904892769461	0.7803939164499366	1219.015996613662	0.2196060835500634	2.0	0.6054898072067068	-0.02263208728439165	-0.20895264375871464	0.0	1.0	155.25361541114316
23	8	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a594_008.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488fret_008.tif	57	836	19	53.0	838.0	16.0	a488	2482	1384	5793	2	5	7.0.2	53	838	16	1.0	1676.4545922869488	0.2711215991462752	4506.950188320257	0.7288784008537248	2.0	-0.7812155077675436	-0.39766696877802005	-0.20895264375871464	0.0	2.0	155.25361541114316
33	13	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488_013.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a594_013.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488fret_013.tif	689	856	17	682.0	856.0	17.0	a488	3093	5101	6806	1	5	7.0.2	682	856	17	2.0	1226.4175471673584	0.45277888966338664	1482.2280526288794	0.5472211103366134	2.0	-0.6152185192148427	0.12665903090329184	-0.1893942042135052	0.0	1.0	10.089376988849162
33	13	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488_013.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a594_013.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488fret_013.tif	690	829	15	694.0	827.0	16.0	a488	2611	1554	10765	2	5	7.0.2	694	827	16	2.0	474.5524207081869	0.11962583220089977	3492.420364160076	0.8803741677991003	1.0	-0.32589072190134016	0.028161792393915076	-0.23939420421350519	0.0	2.0	10.089376988849162
37	15	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488_015.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a594_015.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488fret_015.tif	823	456	22	825.0	457.0	19.0	a488	3496	1547	6828	1	5	7.0.2	825	457	19	3.0	1233.288287465668	0.2213400279727337	4338.628815651323	0.7786599720272663	2.0	0.737637664385179	-0.5876526939241863	-0.1522936885029301	0.0	2.0	143.71048816236407
37	15	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488_015.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a594_015.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM786_20220621_001/a488fret_015.tif	724	488	20	727.0	490.0	17.0	a488	3492	1744	12061	2	5	7.0.2	727	490	17	3.0	909.3404203047394	0.36341187756303456	1592.8904544883178	0.6365881224369654	1.0	-0.3446835885160978	-0.10437891022744859	-0.2522936885029301	0.0	1.0	143.71048816236407
