nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
2	1	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_001.tif	295	319	23	292.0	315.0	20.0	a488	3844	6713	6018	1	5	7.0.2	292	315	20	2.0	5130.545779934138	1.0	0.0	0.0	1.0	-0.12505154707668237	0.19036116815285567	-0.03200995442497465	0.0	1.0	145.01773426322012
2	1	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_001.tif	316	315	19	321.0	312.0	17.0	a488	3080	4331	3994	2	5	7.0.2	321	312	17	2.0	4521.526290977417	0.8940186753284519	536.0037313302959	0.10598132467154808	1.0	0.05469279049687547	-0.28977562580592836	-0.18200995442497464	0.0	2.0	145.01773426322012
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_001.tif	320	581	18	321.0	578.0	19.0	a488	3134	5576	7081	1	5	7.0.2	321	578	19	3.0	2773.9863013360396	0.540030896137356	2362.731470142132	0.459969103862644	2.0	-0.591040780296621	-0.006274492222528846	-0.06332715669652451	0.0	2.0	100.74334010422048
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_001.tif	357	556	18	361.0	555.0	19.0	a488	3805	10344	3647	2	5	7.0.2	361	555	19	3.0	4676.975518430688	0.8999418030437398	520.0	0.10005819695626017	1.0	0.05840353520428987	-0.3540908207569629	-0.06332715669652451	0.0	1.0	100.74334010422048
6	2	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	156	165	24	159.0	160.0	22.0	a488	2689	3331	8501	1	5	7.0.2	159	160	22	1.0	1608.0111939908877	0.7121360594979305	650.0	0.28786394050206954	2.0	0.673225269315316	-0.459462043071749	0.015376657164102702	0.0	1.0	22.793993954287988
6	2	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	158	130	23	159.0	133.0	20.0	a488	2378	1684	12733	2	5	7.0.2	159	133	20	1.0	1390.0	0.39720471827166576	2109.4549058939374	0.6027952817283342	1.0	0.42944559779218877	-0.6896905060524253	-0.0846233428358973	0.0	2.0	22.793993954287988
7	2	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	364	194	24	360.0	196.0	25.0	a488	3130	4641	2978	1	5	7.0.2	360	196	25	4.0	1314.8764200486676	0.3832441681739669	2116.0340261914503	0.6167558318260331	0.0	-0.2630658821730806	0.07060215148020373	0.17460489799986192	0.0	1.0	58.88671242122026
7	2	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	359	171	21	363.0	174.0	21.0	a488	3029	3615	5001	2	5	7.0.2	363	174	21	4.0	260.0	0.0850179426502312	2798.177978613941	0.9149820573497688	1.0	-0.26600789716094614	-0.26579879721808314	-0.02539510200013808	0.0	2.0	58.88671242122026
8	2	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	705	386	17	706.0	386.0	18.0	a488	2626	2894	3141	1	5	7.0.2	706	386	18	6.0	367.6955262170047	0.11245501705967384	2902.0165402698863	0.8875449829403261	1.0	0.21737786360894334	-0.17021267024558345	-0.15657992235117818	0.0	2.0	96.74600365505027
8	2	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	703	366	22	702.0	366.0	24.0	a488	2412	1720	3689	2	5	7.0.2	702	366	24	6.0	727.5987905432498	0.22235761440421498	2544.6021299998947	0.777642385595785	0.0	-0.037067524411541965	-0.0905211852140826	0.14342007764882184	0.0	1.0	96.74600365505027
9	2	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	336	463	22	337.0	458.0	19.0	a488	2550	1847	9987	1	5	7.0.2	337	458	19	3.0	1806.0177186284745	0.6083380837515705	1162.7553482998906	0.3916619162484295	1.0	-0.12033776129189433	-0.6582857655623767	-0.09643310780148635	0.0	1.0	172.60700076097558
9	2	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	303	503	25	302.0	502.0	21.0	a488	2527	1789	11897	2	5	7.0.2	302	502	21	3.0	1690.0	0.4073147107695783	2459.125860951407	0.5926852892304217	0.0	0.03176948857248553	0.34793523682646027	0.0035668921985136494	0.0	2.0	172.60700076097558
10	2	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	907	667	18	904.0	670.0	19.0	a488	2945	5877	4076	1	5	7.0.2	904	670	19	8.0	1654.6298679765212	0.28217428136257944	4209.227957713861	0.7178257186374206	2.0	-0.5440264357183239	0.49597261747841115	-0.09777632094696039	0.0	1.0	141.3667420253442
10	2	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	900	575	23	898.0	579.0	20.0	a488	2568	2998	4646	2	5	7.0.2	898	579	20	8.0	937.4433316206372	0.19863276618602962	3782.0364884543355	0.8013672338139703	2.0	0.6675378076415512	-0.01945787921173705	-0.04777632094696038	0.0	2.0	141.3667420253442
11	2	6	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	603	641	20	606.0	638.0	21.0	a488	4791	13832	6064	1	5	7.0.2	606	638	21	5.0	2616.199533674754	0.4921355296085101	2699.8148084637214	0.5078644703914899	0.0	0.4604567177192902	0.47828043317127883	0.0035356708933694135	0.0	2.0	34.95112241413713
11	2	6	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM780_20220603_001/a488fret_002.tif	607	608	23	606.0	607.0	19.0	a488	2361	1647	8040	2	5	7.0.2	606	607	19	5.0	3473.5284654080497	0.6701240030504111	1709.8830369355678	0.3298759969495889	2.0	0.596088152251012	-0.02606463835503193	-0.09646432910663058	0.0	1.0	34.95112241413713
