nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488fret_001.tif	707	634	18	709.0	636.0	15.0	a488	3822	2018	6354	1	5	7.0.2	709	636	15	4.0	613.9218191268332	0.20060658543858018	2446.4055264816584	0.7993934145614199	1.0	-0.32826215158686145	-0.028866161069491438	-0.2649485780605373	0.0	2.0	17.71542186854707
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488fret_001.tif	713	613	19	715.0	616.0	16.0	a488	3407	2115	10859	2	5	7.0.2	715	616	16	4.0	2359.1523901605	0.8091316934904974	556.5069631190611	0.1908683065095026	2.0	-0.5305442000162041	-0.23978998037071034	-0.21494857806053727	0.0	1.0	17.71542186854707
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488fret_001.tif	408	874	20	410.0	873.0	17.0	a488	4130	2808	12096	1	5	7.0.2	410	873	17	2.0	1798.0545041794478	0.3807680244602413	2924.1238003887593	0.6192319755397586	1.0	0.33726483933548995	-0.6734231720057469	-0.1575382420226637	0.0	1.0	168.09192968713307
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488fret_001.tif	305	886	23	302.0	889.0	20.0	a488	3802	2552	12080	2	5	7.0.2	302	889	20	2.0	845.7541013793548	0.2149545014233201	3088.8185443628768	0.7850454985766799	1.0	-0.21715847147795464	0.6194591069816113	-0.007538242022663688	0.0	2.0	168.09192968713307
5	2	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488fret_002.tif	708	164	18	701.0	164.0	17.0	a488	3931	6487	5136	1	5	7.0.2	701	164	17	3.0	875.2142594816426	0.2065668113677621	3361.7406205714324	0.7934331886322379	2.0	0.7375092629867921	0.5573343903332685	-0.20841815585677903	0.0	2.0	82.81366750222247
5	2	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488fret_002.tif	681	78	20	684.0	79.0	17.0	a488	3923	6775	16435	2	5	7.0.2	684	79	17	3.0	727.5987905432498	0.23131033333290663	2417.953680284219	0.7686896666670934	1.0	-0.23078838339362592	0.5325772394260011	-0.20841815585677903	0.0	1.0	82.81366750222247
6	2	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488fret_002.tif	248	283	21	252.0	281.0	22.0	a488	3028	2423	11095	1	5	7.0.2	252	281	22	1.0	1207.8493283518437	0.5554360798996952	966.7471230885562	0.44456392010030477	2.0	0.8942653308782194	-0.137921068220621	-0.0067975476530916625	0.0	1.0	112.96514629085995
6	2	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488fret_002.tif	155	293	18	154.0	292.0	14.0	a488	4289	8154	4315	2	5	7.0.2	154	292	14	1.0	417.73197148410844	0.11346636951459757	3263.8167840735177	0.8865336304854025	1.0	-0.11083923788230002	0.3284793214631119	-0.4067975476530917	0.0	2.0	112.96514629085995
7	2	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488fret_002.tif	704	956	24	702.0	951.0	21.0	a488	3404	2058	8133	1	5	7.0.2	702	951	21	2.0	654.2170893518451	0.1468082525666748	3802.0520774970983	0.8531917474333253	0.0	0.23362934541754685	0.5831403973976406	0.015288423036489186	0.0	2.0	167.3182033894408
7	2	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM747_20220406_001/a488fret_002.tif	749	860	21	751.0	863.0	22.0	a488	4949	10046	4403	2	5	7.0.2	751	863	22	2.0	1689.644933114647	0.29559234520227207	4026.4873028484767	0.7044076547977279	0.0	-0.17782996829986206	-0.6591955416420542	0.06528842303648918	0.0	1.0	167.3182033894408
