nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
17	6	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_006.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_006.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_006.tif	219	592	9	217.0	595.0	10.0	a488	4010	2395	13244	1	5	7.0.2	217	595	10	1.0	2180.0	0.45448489455911545	2616.63906567184	0.5455151054408846	2.0	0.5538045164712875	0.5350473018570954	-0.4242681107724236	0.0	1.0	136.03159928442275
17	6	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_006.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_006.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_006.tif	153	516	12	145.0	515.0	11.0	a488	3819	3923	6773	2	5	7.0.2	145	515	11	1.0	2180.3669415949234	0.4414844067878267	2758.3509566405796	0.5585155932121733	2.0	-0.7544482088421243	-0.08432373209846442	-0.3742681107724236	0.0	2.0	136.03159928442275
20	7	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_007.tif	521	509	25	520.0	508.0	21.0	a488	5935	8217	6413	1	5	7.0.2	520	508	21	3.0	650.0	0.13044317262651564	4333.012808658659	0.8695568273734844	0.0	-0.36799332557613745	-0.24901053326298558	0.006925096486723703	0.0	2.0	82.91798509030949
20	7	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_007.tif	558	516	16	557.0	522.0	15.0	a488	4443	4712	10053	2	5	7.0.2	557	522	15	3.0	627.8534860936904	0.13334495643416883	4080.637205143334	0.8666550435658311	1.0	-0.3110278460122827	0.7364157468737462	-0.2930749035132763	0.0	1.0	82.91798509030949
21	7	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_007.tif	835	597	11	835.0	595.0	10.0	a488	3035	2551	4756	1	5	7.0.2	835	595	10	5.0	2184.3305610644193	0.7531598793513855	715.8910531638177	0.2468401206486145	1.0	0.06085991839997275	0.5295947910935539	-0.2918334267921591	0.0	1.0	117.24082456057886
21	7	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_007.tif	788	621	12	786.0	620.0	8.0	a488	3586	3522	5003	2	5	7.0.2	786	620	8	5.0	1972.9419656948858	0.4820323898080795	2120.023584774471	0.5179676101919205	1.0	-0.2866865759883497	-0.41352601751368523	-0.39709658468689596	0.0	2.0	117.24082456057886
22	7	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_007.tif	586	657	15	585.0	659.0	16.0	a488	3192	1750	8397	1	5	7.0.2	585	659	16	4.0	835.7032966310471	0.16482673459398037	4234.489343474606	0.8351732654060197	2.0	-0.6375105506382783	-0.5766270960269813	-0.1108909794502269	0.0	2.0	22.645163298193157
22	7	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_007.tif	599	660	25	602.0	660.0	22.0	a488	3803	1805	6339	2	5	7.0.2	602	660	22	4.0	2109.075626903881	0.42527205004295715	2850.2806879323307	0.5747279499570428	2.0	-0.6109582838636448	-0.26041795223033504	0.1891090205497731	0.0	1.0	22.645163298193157
23	7	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_007.tif	210	654	12	212.0	657.0	9.0	a488	5432	9908	10297	1	5	7.0.2	212	657	9	2.0	1090.1834707974617	0.2786672714347818	2821.949680628625	0.7213327285652182	2.0	0.7923543340256449	0.3240770358675317	-0.5112004419100549	0.0	1.0	135.47969604571531
23	7	5	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a594_007.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM746_20220406_001/a488fret_007.tif	144	681	25	142.0	685.0	26.0	a488	4506	4108	5888	2	5	7.0.2	142	685	26	2.0	390.0	0.09300839819359362	3803.169730632594	0.9069916018064064	0.0	-0.3018693525281485	0.18653851735014262	0.3387995580899451	0.0	2.0	135.47969604571531
