nuclei	File	Nuclei	n_pairs	DonorFile	AcceptorFile	FretFile	X_A	Y_A	Z_A	x	y	z	Channel	Fret	Acceptor	Donor	Pair	dilation	version	xi	yi	zi	cell_ID	lamin_dist	lamin_dist_norm	centr_dist	centr_dist_norm	compartment	xnorm	ynorm	znorm	G1	Allele	angle
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_001.tif	568	120	26	566.0	115.0	23.0	a488	2372	1809	4814	1	5	7.0.2	566	115	23	3.0	1340.4849868610986	0.39476262073183743	2055.1885558264476	0.6052373792681626	2.0	0.7878860802113105	-0.27905872614826827	0.055631569567366236	0.0	1.0	144.10564511041568
1	1	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_001.tif	435	65	24	434.0	63.0	26.0	a488	3200	5775	3707	2	5	7.0.2	434	63	26	3.0	1435.47901412734	0.32028688200892985	3046.3748948545385	0.6797131179910701	2.0	-0.7789791113879726	-0.3422150865312219	0.20563156956736622	0.0	2.0	144.10564511041568
2	1	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_001.tif	751	632	23	755.0	631.0	20.0	a488	2375	2727	6648	1	5	7.0.2	755	631	20	4.0	390.0	0.1750073658177636	1838.4776310850236	0.8249926341822365	1.0	-0.465602092987563	-0.3710318302543986	-0.05989749686354653	0.0	2.0	157.99048907992085
2	1	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_001.tif	835	566	23	829.0	564.0	20.0	a488	2685	2777	13681	2	5	7.0.2	829	564	20	4.0	845.7541013793548	0.20335735956557824	3313.2008692501577	0.7966426404344218	1.0	0.4501954466279999	0.03510124854386591	-0.05989749686354653	0.0	1.0	157.99048907992085
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_001.tif	350	711	27	345.0	715.0	25.0	a488	2668	3547	6231	1	5	7.0.2	345	715	25	2.0	300.0	0.11720269435762629	2259.668117224297	0.8827973056423737	0.0	-0.4196064515482624	0.07464598083253904	0.11585065702565522	0.0	2.0	107.91783075838414
3	1	3	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_001.tif	409	731	23	407.0	725.0	20.0	a488	2773	1784	9699	2	5	7.0.2	407	725	20	2.0	1110.720486891279	0.29977379633196494	2594.474898703011	0.7002262036680351	1.0	0.2841700493325418	0.7590165488782157	-0.13414934297434478	0.0	1.0	107.91783075838414
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_001.tif	257	961	27	258.0	957.0	24.0	a488	2386	1915	10468	1	5	7.0.2	258	957	24	1.0	1481.8232013300371	0.2133106677317574	5464.961116055631	0.7866893322682427	2.0	-0.5782295500771419	0.13820925677344753	0.054212874718419714	0.0	2.0	136.42841225666024
4	1	4	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_001.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_001.tif	228	878	27	228.0	877.0	23.0	a488	2514	1639	10502	2	5	7.0.2	228	877	23	1.0	2199.74998579384	0.46621849019507333	2518.531318050264	0.5337815098049267	0.0	0.2931359612738078	-0.5962435504677283	0.004212874718419713	0.0	1.0	136.42841225666024
5	2	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_002.tif	845	182	23	847.0	178.0	24.0	a488	2628	3442	3554	1	5	7.0.2	847	178	24	3.0	1357.2398461583716	0.2576038167731281	3911.470311788139	0.742396183226872	0.0	-0.40576367051359596	-0.6707766702953362	0.13406105478532487	0.0	2.0	96.3898635146294
5	2	1	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_002.tif	842	241	21	838.0	244.0	22.0	a488	2298	1818	7070	2	5	7.0.2	838	244	22	3.0	3145.155004129367	0.5976313591711027	2117.545749210628	0.40236864082889734	0.0	0.4962508003370577	-0.3991541060242852	0.03406105478532488	0.0	1.0	96.3898635146294
6	2	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_002.tif	414	809	23	416.0	812.0	20.0	a488	2478	2278	13457	1	5	7.0.2	416	812	20	2.0	1226.4175471673584	0.21851723682666502	4386.0346555858405	0.781482763173335	2.0	0.7882379197725852	-0.3802659694902637	-0.0833194113636937	0.0	2.0	113.78898727413355
6	2	2	2	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a594_002.tif	/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM758_20220505_001/a488fret_002.tif	337	763	23	333.0	766.0	20.0	a488	2286	1739	7722	2	5	7.0.2	333	766	20	2.0	2230.26904206645	0.3716529485069924	3770.676331906519	0.6283470514930076	1.0	-0.008545144630553987	0.7609497434660936	-0.0833194113636937	0.0	1.0	113.78898727413355
